Time,Vx,Vy,Rep,Block,Time,Condition,ID,pos x,pos y
3508.4447,44.65801185265832,72.1214385760198,1,1,56,square_left,1,31.605553619707422,-3.8387111136857994
3508.4497,46.97823144862923,72.83118069384616,1,1,57,square_left,1,31.801296250743377,-3.5352478607947737
3508.4537,49.275712273254726,73.49050744143476,1,1,58,square_left,1,32.006611718548605,-3.229037413122129
3508.4578,51.5512901268653,74.10918581464074,1,1,59,square_left,1,32.22140876074388,-2.920249138894459
3508.4617,53.80453949139451,74.69382046610247,1,1,60,square_left,1,32.44559434195802,-2.6090248869523656
3508.4657,56.034249544792374,75.24852680869824,1,1,61,square_left,1,32.67907038172799,-2.2954893585827896
3508.4698,58.238806147788864,75.77566589044395,1,1,62,square_left,1,32.92173207401044,-1.9797574173726065
3508.4744,60.41630652562276,76.27640265511175,1,1,63,square_left,1,33.17346668453387,-1.6619390729763075
3508.4787,62.56440474365775,76.75109354616893,1,1,64,square_left,1,33.43415170429911,-1.3421428498672703
3508.4827,64.68000887951916,77.19950738100292,1,1,65,square_left,1,33.70365174129711,-1.0204782357797582
3508.4868,66.75895577048493,77.62091637471084,1,1,66,square_left,1,33.98181405700746,-0.6970577508851297
3508.4908,68.79573217829659,78.01417151563261,1,1,67,square_left,1,34.2684629410837,-0.3719987029033271
3508.4948,70.78332380514212,78.37775461528398,1,1,68,square_left,1,34.563393456938456,-0.04542472533964384
3508.4997,72.7132961333109,78.70974060710255,1,1,69,square_left,1,34.866365524160585,0.2825325271899501
3508.5037,74.57613024381658,79.0077650743621,1,1,70,square_left,1,35.17709940017649,0.6117315483331255
3508.5078,76.36176939822064,79.26914452150595,1,1,71,square_left,1,35.49527343933574,0.942019650506067
3508.5117,78.0603094918132,79.49117983617292,1,1,72,square_left,1,35.82052472888496,1.2732328998234541
3508.5157,79.66271275648978,79.67155614779394,1,1,73,square_left,1,36.15245269870367,1.6051977171059288
3508.5197,81.16143293250104,79.80867133542847,1,1,74,square_left,1,36.490625335922424,1.9377338476702142
3508.5244,82.5509153759657,79.9018235855354,1,1,75,square_left,1,36.83458748332228,2.270658112609945
3508.5287,83.82795126483813,79.95136526237502,1,1,76,square_left,1,37.18387061359244,2.6037888012031742
3508.5327,84.99184073260608,79.95884933757895,1,1,77,square_left,1,37.53800328331163,2.9369506734430866
3508.5367,86.04437945505595,79.92704565425069,1,1,78,square_left,1,37.89652153104103,3.2699800303357978
3508.5408,86.98973510571989,79.85981808453403,1,1,79,square_left,1,38.2589787606482,3.6027292723546895
3508.5447,87.83421585655731,79.76196025606473,1,1,80,square_left,1,38.62495466005052,3.935070773421626
